,TRACK_ID,QUALITY,TP,TARGET,R,AV_RAD,AV_DEG,COORD_X,COORD_Y,COORD_Z,DISP_VECT_X,DISP_VECT_Y,DISP_VECT_Z,CENTRD_COORD_X,CENTRD_COORD_Y,CENTRD_COORD_Z,ALIGNED_COORD_X,ALIGNED_COORD_Y,ALIGNED_COORD_Z,ALIGNED_DISP_VECT_X,ALIGNED_DISP_VECT_Y,ALIGNED_DISP_VECT_Z,R_VECT_X,R_VECT_Y,R_VECT_Z,AV_VECT_X,AV_VECT_Y,AV_VECT_Z
ID0,0,0.0,0,ID200,40.0,0.259,14.829,-76.0,116.0,-51.0,0.0,-1.3629669484372755,10.35276180410083,0.022790375652562034,40.0,0.0008048274032077529,0.0008048274032028558,-40.0,0.022790375652562034,10.35276180410083,1.3629669484372742,-6.339238302863529e-16,0.0,40.0,0.001,0.259,0.0,-0.0
ID1,1,0.0,0,ID201,39.782,0.259,14.829,-80.17113560587966,115.59798994974877,-47.17889810434731,0.0,-2.338242732023744,10.118513057013544,-4.148345230227093,39.597989949748765,3.8219067230558963,3.821906723055891,-39.597989949748765,-4.148345230227093,10.118513057013544,2.3382427320237427,-6.195802313701169e-16,0.0,39.598,3.822,0.259,0.0,-0.0
ID2,2,0.0,0,ID202,39.994,0.259,14.829,-75.30237142257698,115.19597989949747,-58.94911781810734,0.0,0.7218124552243239,10.41552571082839,0.7204189530755798,39.19597989949747,-7.948312990704132,-7.948312990704136,-39.19597989949747,0.7204189530755802,10.41552571082839,-0.7218124552243251,-6.377670111601474e-16,0.0,39.196,-7.948,0.259,-0.0,0.0
ID3,3,0.0,0,ID203,39.558,0.259,14.829,-70.06880068856033,114.79396984924622,-43.26380079989198,0.0,-3.3241481572747063,9.777013636711033,5.953989687092232,38.793969849246224,7.737004027511226,7.7370040275112215,-38.793969849246224,5.953989687092231,9.777013636711033,3.324148157274705,-5.986694227709095e-16,0.0,38.794,7.737,0.259,0.0,-0.0
ID4,4,0.0,0,ID204,38.442,0.259,14.829,-87.05589988605506,114.39195979899498,-52.95563301820185,0.0,-0.8020192369520913,10.003206953967286,-11.033109510402497,38.391959798994975,-1.9548281907986436,-1.954828190798649,-38.391959798994975,-11.033109510402497,10.003206953967286,0.8020192369520901,-6.125197688692291e-16,0.0,38.392,-1.955,0.259,-0.0,-0.0
ID5,5,0.0,0,ID205,38.58,0.259,14.829,-65.43573494822488,113.98994974874373,-57.72012068372062,0.0,0.44481907132599474,10.061505076998117,10.587055427427686,37.989949748743726,-6.719315856317415,-6.719315856317419,-37.989949748743726,10.587055427427686,10.061505076998117,-0.44481907132599596,-6.160894993575294e-16,0.0,37.99,-6.719,0.259,-0.0,0.0
ID6,6,0.0,0,ID206,39.842,0.259,14.829,-79.55142853777654,113.58793969849246,-37.78886285880125,0.0,-4.700071886325958,9.278316078266801,-3.5286381621239826,37.58793969849246,13.211941968601955,13.21194196860195,-37.58793969849246,-3.5286381621239835,9.278316078266801,4.700071886325957,-5.68133004336343e-16,0.0,37.588,13.212,0.259,0.0,-0.0
ID7,7,0.0,0,ID207,39.419,0.259,14.829,-82.79281633474861,113.1859296482412,-64.07915450013601,0.0,2.118054452036887,10.070088185237047,-6.770025959096046,37.1859296482412,-13.078349672732806,-13.078349672732811,-37.1859296482412,-6.770025959096045,10.070088185237047,-2.1180544520368882,-6.166150631591065e-16,0.0,37.186,-13.078,0.259,-0.0,0.0
ID8,8,0.0,0,ID208,37.177,0.259,14.829,-61.23910277211804,112.78391959798996,-45.60934400684689,0.0,-2.648586102774928,9.336696796753081,14.783687603534524,36.783919597989964,5.391460820556318,5.391460820556315,-36.783919597989964,14.783687603534524,9.336696796753081,2.6485861027749267,-5.717077923376503e-16,0.0,36.784,5.391,0.259,0.0,-0.0
ID9,9,0.0,0,ID209,36.931,0.259,14.829,-91.36630055426907,112.3819095477387,-44.65701450923702,0.0,-2.8813689536834772,9.200199098693837,-15.343510178616512,36.3819095477387,6.343790318166185,6.34379031816618,-36.3819095477387,-15.343510178616512,9.200199098693837,2.881368953683476,-5.633497188866885e-16,0.0,36.382,6.344,0.259,0.0,-0.0
ID10,10,0.0,0,ID210,39.308,0.259,14.829,-68.59242774279058,111.97989949748744,-66.82955164889152,0.0,2.871004096587882,9.851662123474867,7.430362632861986,35.97989949748744,-15.828746821488316,-15.82874682148832,-35.97989949748744,7.4303626328619865,9.851662123474867,-2.871004096587883,-6.032403242897356e-16,0.0,35.98,-15.829,0.259,-0.0,0.0
ID11,11,0.0,0,ID211,39.624,0.259,14.829,-70.52863761013622,111.57788944723616,-33.55643453651105,0.0,-5.727014141736959,8.613860293755785,5.494152765516347,35.57788944723616,17.44437029089216,17.444370290892156,-35.57788944723616,5.494152765516346,8.613860293755785,5.727014141736958,-5.274468218525251e-16,0.0,35.578,17.444,0.259,0.0,-0.0
ID12,12,0.0,0,ID212,36.449,0.259,14.829,-92.47670910879204,111.17587939698493,-60.54858971749339,0.0,1.272767847749762,9.429547820897355,-16.453918733139474,35.175879396984925,-9.547784890090185,-9.54778489009019,-35.175879396984925,-16.453918733139474,9.429547820897355,-1.272767847749763,-5.773932778134422e-16,0.0,35.176,-9.548,0.259,-0.0,0.0
ID13,13,0.0,0,ID213,35.032,0.259,14.829,-56.692969882322274,110.77386934673368,-55.24459641089487,0.0,-0.08630847480843329,9.144770774279053,19.32982049333029,34.773869346733676,-4.243791583491664,-4.243791583491667,-34.773869346733676,19.32982049333029,9.144770774279053,0.08630847480843216,-5.599557128828552e-16,0.0,34.774,-4.244,0.259,-0.0,-0.0
ID14,14,0.0,0,ID214,38.231,0.259,14.829,-87.76663775207722,110.3718592964824,-34.26316862383424,0.0,-5.503003419257155,8.325798101831737,-11.743847376424654,34.3718592964824,16.737636203568968,16.737636203568965,-34.3718592964824,-11.743847376424656,8.325798101831737,5.503003419257154,-5.098080997877673e-16,0.0,34.372,16.738,0.259,0.0,-0.0
ID15,15,0.0,0,ID215,39.907,0.259,14.829,-78.71413038065916,109.96984924623116,-71.9447568251606,0.0,4.26340741724232,9.50571922657987,-2.6913400050065945,33.96984924623116,-20.943951997757388,-20.94395199775739,-33.96984924623116,-2.691340005006593,9.50571922657987,-4.263407417242321,-5.820574312212246e-16,0.0,33.97,-20.944,0.259,-0.0,0.0
ID16,16,0.0,0,ID216,36.378,0.259,14.829,-59.36646451253176,109.5678391959799,-36.98123868168196,0.0,-4.772118801791663,8.210318378486026,16.6563258631208,33.5678391959799,14.01956614572125,14.019566145721248,-33.5678391959799,16.6563258631208,8.210318378486026,4.772118801791662,-5.027370061096799e-16,0.0,33.568,14.02,0.259,0.0,-0.0
ID17,17,0.0,0,ID217,33.179,0.259,14.829,-98.3422055374018,109.16582914572864,-50.07607965666482,0.0,-1.36922640459143,8.552466407256972,-22.319415161749234,33.16582914572864,0.924725170738391,0.9247251707383856,-33.16582914572864,-22.319415161749234,8.552466407256972,1.3692264045914289,-5.236875305231257e-16,0.0,33.166,0.925,0.259,0.0,-0.0
ID18,18,0.0,0,ID218,36.543,0.259,14.829,-59.73499572575552,108.7638190954774,-67.18585166859131,0.0,3.0728066097429974,9.03141989361815,16.287794649897045,32.7638190954774,-16.185046841188104,-16.185046841188107,-32.7638190954774,16.287794649897045,9.03141989361815,-3.0728066097429982,-5.530149732237598e-16,0.0,32.764,-16.185,0.259,-0.0,0.0
ID19,19,0.0,0,ID219,39.986,0.259,14.829,-77.08595422891275,108.36180904522612,-27.51523858471144,0.0,-7.181005426972547,7.575628674851217,-1.0631638532601926,32.361809045226124,23.485566242691768,23.485566242691764,-32.361809045226124,-1.063163853260194,7.575628674851218,7.181005426972546,-4.638734704092724e-16,0.0,32.362,23.486,0.259,0.0,-0.0
ID20,20,0.0,0,ID220,36.912,0.259,14.829,-91.41130255863754,107.95979899497488,-69.4678910990653,0.0,3.6908381965961894,8.901082786932015,-15.388512182984982,31.959798994974875,-18.46708627166209,-18.467086271662094,-31.95979899497487,-15.38851218298498,8.901082786932015,-3.6908381965961903,-5.450341271980947e-16,0.0,31.96,-18.467,0.259,-0.0,0.0
ID21,21,0.0,0,ID221,31.728,0.259,14.829,-51.64093401436659,107.55778894472364,-47.72252212397439,0.0,-1.9235792766530437,8.056079449738831,24.38185636128597,31.55778894472364,3.2782827034288147,3.278282703428812,-31.55778894472364,24.38185636128597,8.056079449738831,1.9235792766530428,-4.932925955899715e-16,0.0,31.558,3.278,0.259,0.0,-0.0
ID22,22,0.0,0,ID222,34.293,0.259,14.829,-96.5922165933959,107.15577889447236,-36.67247204681068,0.0,-4.769844525673761,7.575510266567402,-20.56942621774334,31.155778894472363,14.328332780592525,14.32833278059252,-31.155778894472363,-20.56942621774334,7.575510266567403,4.7698445256737605,-4.638662199929841e-16,0.0,31.156,14.328,0.259,0.0,-0.0
ID23,23,0.0,0,ID223,39.604,0.259,14.829,-70.38622731032542,106.7537688442211,-75.95378244004061,0.0,5.410604880963547,8.809940603171697,5.636563065327138,30.7537688442211,-24.952977612637405,-24.952977612637408,-30.753768844221096,5.63656306532714,8.809940603171697,-5.410604880963548,-5.39453278017626e-16,0.0,30.754,-24.953,0.259,-0.0,0.0
ID24,24,0.0,0,ID224,37.845,0.259,14.829,-63.04683284077339,106.35175879396984,-28.39499615886325,0.0,-6.884816610279842,7.085366400618142,12.975957534879171,30.351758793969836,22.605808668539957,22.605808668539954,-30.35175879396984,12.97595753487917,7.085366400618143,6.884816610279841,-4.3385356416516057e-16,0.0,30.352,22.606,0.259,0.0,-0.0
